Id,Weekly_Sales
1_1_2012-11-02,21288.01185
1_1_2012-11-09,19735.02765
1_1_2012-11-16,21276.0103
1_1_2012-11-23,21601.59015
1_1_2012-11-30,23991.48095
1_1_2012-12-07,26430.5585
1_1_2012-12-14,40235.60145
1_1_2012-12-21,40727.54895
1_1_2012-12-28,25476.28885
1_1_2013-01-04,20673.4059
1_1_2013-01-11,18441.79835
1_1_2013-01-18,23811.446
1_1_2013-01-25,19589.7987
1_1_2013-02-01,21995.74575
1_1_2013-02-08,30618.8815
1_1_2013-02-15,43492.5487
1_1_2013-02-22,24172.50575
1_1_2013-03-01,24269.50335
1_1_2013-03-08,22928.5025
1_1_2013-03-15,21467.98295
1_1_2013-03-22,22799.42505
1_1_2013-03-29,24593.33385
1_1_2013-04-05,22703.8142
1_1_2013-04-12,21338.9349
1_1_2013-04-19,21446.6333
1_1_2013-04-26,21682.34415
1_1_2013-05-03,21835.96885
1_1_2013-05-10,19591.2129
1_1_2013-05-17,20581.5113
1_1_2013-05-24,17592.62355
1_1_2013-05-31,18519.8282
1_1_2013-06-07,17907.40215
1_1_2013-06-14,18198.0643
1_1_2013-06-21,17423.6975
1_1_2013-06-28,17493.19905
1_1_2013-07-05,18789.6411
1_1_2013-07-12,17833.3418
1_1_2013-07-19,18414.227
1_1_2013-07-26,20131.1074
1_2_2012-11-02,45842.9995
1_2_2012-11-09,46521.1769
1_2_2012-11-16,45431.38355
1_2_2012-11-23,44776.5408
1_2_2012-11-30,45807.4156
1_2_2012-12-07,47631.78475
1_2_2012-12-14,49143.17815
1_2_2012-12-21,60601.2878
1_2_2012-12-28,45727.63975
1_2_2013-01-04,44656.7217
1_2_2013-01-11,43813.6705
1_2_2013-01-18,44989.4696
1_2_2013-01-25,42327.00005
1_2_2013-02-01,51281.8093
1_2_2013-02-08,51119.85985
1_2_2013-02-15,49476.5912
1_2_2013-02-22,49752.00785
1_2_2013-03-01,47471.89945
1_2_2013-03-08,46048.68385
1_2_2013-03-15,45317.3742
1_2_2013-03-22,48231.72345
1_2_2013-03-29,47579.5799
1_2_2013-04-05,47349.2476
1_2_2013-04-12,44784.6539
1_2_2013-04-19,44954.9102
1_2_2013-04-26,44086.85515
1_2_2013-05-03,44219.38355
1_2_2013-05-10,45700.17765
1_2_2013-05-17,48053.533
1_2_2013-05-24,47190.8435
1_2_2013-05-31,45564.9331
1_2_2013-06-07,45845.9408
1_2_2013-06-14,47599.4499
1_2_2013-06-21,47370.36545
1_2_2013-06-28,46121.28185
1_2_2013-07-05,46792.561
1_2_2013-07-12,46268.63375
1_2_2013-07-19,45797.70285
1_2_2013-07-26,44250.079
1_3_2012-11-02,11466.82645
1_3_2012-11-09,11138.17995
1_3_2012-11-16,10829.09705
1_3_2012-11-23,9707.03475
1_3_2012-11-30,10190.92815
1_3_2012-12-07,11555.3059
1_3_2012-12-14,12561.39705
1_3_2012-12-21,12100.71515
1_3_2012-12-28,9789.73175
1_3_2013-01-04,12826.57965
1_3_2013-01-11,13119.263
1_3_2013-01-18,11580.51165
1_3_2013-01-25,10991.4509
1_3_2013-02-01,13065.39225
1_3_2013-02-08,16653.68765
1_3_2013-02-15,14901.78335
1_3_2013-02-22,14111.11815
1_3_2013-03-01,11584.32675
1_3_2013-03-08,11468.8251
1_3_2013-03-15,10690.4744
1_3_2013-03-22,11844.0396
1_3_2013-03-29,10687.104
1_3_2013-04-05,10384.11065
1_3_2013-04-12,10854.60825
1_3_2013-04-19,9803.8207
1_3_2013-04-26,10241.9696
1_3_2013-05-03,9774.0473
1_3_2013-05-10,10941.04945
1_3_2013-05-17,13277.3903
1_3_2013-05-24,9954.636
1_3_2013-05-31,9592.8126
1_3_2013-06-07,11597.10575
1_3_2013-06-14,16661.67375
1_3_2013-06-21,15369.58665
1_3_2013-06-28,21510.6665
1_3_2013-07-05,13196.24405
1_3_2013-07-12,14463.04935
1_3_2013-07-19,11959.9145
1_3_2013-07-26,14671.6067
1_4_2012-11-02,37424.8983
1_4_2012-11-09,38116.70525
1_4_2012-11-16,38424.3573
1_4_2012-11-23,46164.7021
1_4_2012-11-30,38557.002
1_4_2012-12-07,38556.23825
1_4_2012-12-14,37343.0201
1_4_2012-12-21,45586.50935
1_4_2012-12-28,38505.99125
1_4_2013-01-04,39204.00935
1_4_2013-01-11,36756.84005
1_4_2013-01-18,35916.2781
1_4_2013-01-25,34184.75735
1_4_2013-02-01,38894.2302
1_4_2013-02-08,40018.94325
1_4_2013-02-15,38895.1224
1_4_2013-02-22,37248.2203
1_4_2013-03-01,37798.58415
1_4_2013-03-08,37422.5986
1_4_2013-03-15,36870.33005
1_4_2013-03-22,39673.60855
1_4_2013-03-29,38921.28275
1_4_2013-04-05,38736.2314
1_4_2013-04-12,36673.0952
1_4_2013-04-19,37783.1902
1_4_2013-04-26,36537.65315
1_4_2013-05-03,37383.9865
1_4_2013-05-10,37144.3661
1_4_2013-05-17,39326.35555
1_4_2013-05-24,39678.68215
1_4_2013-05-31,39215.11345
1_4_2013-06-07,38035.12485
1_4_2013-06-14,40434.59705
1_4_2013-06-21,39860.94405
1_4_2013-06-28,37985.3496
1_4_2013-07-05,38960.42425
1_4_2013-07-12,39032.7412
1_4_2013-07-19,38224.2306
1_4_2013-07-26,36853.43925
1_5_2012-11-02,23439.3579
1_5_2012-11-09,27684.72845
1_5_2012-11-16,27753.57315
1_5_2012-11-23,74265.06555
1_5_2012-11-30,30540.8623
1_5_2012-12-07,32828.59655
1_5_2012-12-14,37752.11545
1_5_2012-12-21,49110.57285
1_5_2012-12-28,32613.48895
1_5_2013-01-04,27126.2423
1_5_2013-01-11,21530.4124
1_5_2013-01-18,27111.79455
1_5_2013-01-25,24078.7627
1_5_2013-02-01,26998.9794
1_5_2013-02-08,31401.87795
1_5_2013-02-15,38938.27055
1_5_2013-02-22,29653.7551
1_5_2013-03-01,28360.7814
1_5_2013-03-08,24910.04155
1_5_2013-03-15,23093.91225
1_5_2013-03-22,25069.15635
1_5_2013-03-29,26993.48635
1_5_2013-04-05,26319.5125
1_5_2013-04-12,22795.96575
1_5_2013-04-19,23433.8689
1_5_2013-04-26,23465.10775
